Date,1a. open (GBP),1b. open (USD),2a. high (GBP),2b. high (USD),3a. low (GBP),3b. low (USD),4a. close (GBP),4b. close (USD),5. volume,6. market cap (USD)
26/02/2024,40731.29649,51728.85,40784.5641,51796.5,40079.79386,50901.44,40134.65201,50971.11,11726.30682,11726.30682
25/02/2024,40604.80855,51568.21,40912.16227,51958.55,40377.71452,51279.8,40731.29649,51728.85,18721.63159,18721.63159
24/02/2024,39955.94371,50744.15,40707.0052,51698,39830.629,50585,40604.81643,51568.22,16560.4211,16560.4211
23/02/2024,40384.50191,51288.42,40589.3204,51548.54,39780.2354,50521,39955.94371,50744.15,30545.79544,30545.79544
22/02/2024,40826.20181,51849.38,40996.59517,52065.78,40110.77017,50940.78,40384.50191,51288.42,35309.44574,35309.44574
21/02/2024,41148.59487,52258.82,41233.61832,52366.8,39862.125,50625,40826.20969,51849.39,43079.40049,43079.40049
20/02/2024,40767.43028,51774.74,41720.389,52985,39968.71534,50760.37,41148.59487,52258.82,49614.47318,49614.47318
19/02/2024,41053.20923,52137.68,41329.6575,52488.77,40690.4698,51677,40767.4224,51774.73,29534.99432,29534.99432
18/02/2024,40663.41474,51642.64,41241.6498,52377,40285.96667,51163.28,41053.20136,52137.67,21992.10363,21992.10363
17/02/2024,41042.51634,52124.1,41073.00447,52162.82,39862.125,50625,40663.41474,51642.64,25674.00622,25674.00622
16/02/2024,40850.31987,51880.01,41395.25579,52572.08,40603.0684,51566,41042.52421,52124.11,37772.25318,37772.25318
15/02/2024,40783.51686,51795.17,41587.80659,52816.62,40404.6436,51314,40850.312,51880,53816.03055,53816.03055
14/02/2024,39133.46504,49699.6,40979.21725,52043.71,38759.77287,49225.01,40783.51686,51795.17,57046.37401,57046.37401
13/02/2024,39304.86627,49917.28,39660.24351,50368.61,38032.16803,48300.95,39133.45717,49699.59,55551.56706,55551.56706
12/02/2024,38031.42,48300,39633.63727,50334.82,37566.86187,47710.01,39304.8584,49917.27,59009.96705,59009.96705
11/02/2024,37599.20039,47751.08,38261.86048,48592.66,37446.50778,47557.16,38031.41213,48299.99,29958.80837,29958.80837
10/02/2024,37112.35097,47132.78,37929.058,48170,36850.32,46800,37599.20827,47751.09,24802.35936,24802.35936
09/02/2024,35660.29088,45288.66,37952.68,48200,35623.64529,45242.12,37112.3431,47132.77,73503.481,73503.481
08/02/2024,34920.87504,44349.6,35916.69982,45614.3,34906.30814,44331.1,35660.28301,45288.65,45439.62231,45439.62231
07/02/2024,33936.1211,43098.96,34957.8041,44396.5,33691.2712,42788,34920.87504,44349.6,34392.59915,34392.59915
06/02/2024,33628.83038,42708.7,34173.14425,43399.98,33522.7676,42574,33936.11323,43098.95,24675.85433,24675.85433
05/02/2024,33529.75971,42582.88,34306.82902,43569.76,33274.02794,42258.1,33628.83038,42708.7,29467.75905,29467.75905
04/02/2024,33866.94014,43011.1,33951.9321,43119.04,33245.6028,42222,33529.75971,42582.88,17066.89404,17066.89404
03/02/2024,34015.67213,43199.99,34157.41987,43380.01,33763.712,42880,33866.93227,43011.09,12033.40998,12033.40998
02/02/2024,33923.51483,43082.95,34242.4512,43488,33501.34245,42546.79,34015.68,43200,29672.14418,29672.14418
01/02/2024,33527.492,42580,34082.71136,43285.13,32979.68207,41884.28,33923.50696,43082.94,35231.04664,35231.04664
31/01/2024,33811.82214,42941.1,34444.89961,43745.11,33288.78382,42276.84,33527.492,42580,39871.13688,39871.13688
30/01/2024,34096.55385,43302.71,34552.97026,43882.36,33609.37373,42683.99,33811.82214,42941.1,37619.24546,37619.24546
29/01/2024,33095.24877,42031.05,34120.4042,43333,32917.16251,41804.88,34096.54598,43302.7,31542.74207,31542.74207
28/01/2024,33165.78406,42120.63,33734.32623,42842.68,32772.22579,41620.81,33095.25664,42031.06,27294.99838,27294.99838
27/01/2024,32931.83177,41823.51,33228.28,42200,32593.90332,41394.34,33165.78406,42120.63,16224.41667,16224.41667
26/01/2024,31465.36227,39961.09,33265.14607,42246.82,31356.25225,39822.52,32931.83177,41823.51,47384.96726,47384.96726
25/01/2024,31562.84239,40084.89,31732.40898,40300.24,31141.67,39550,31465.36227,39961.09,31022.11853,31022.11853
24/01/2024,31415.36237,39897.59,31933.007,40555,31089.85121,39484.19,31562.83451,40084.88,39293.82861,39293.82861
23/01/2024,31155.85895,39568.02,31635.16508,40176.74,30358.207,38555,31415.37024,39897.6,57956.63351,57956.63351
22/01/2024,32740.34397,41580.32,32826.43041,41689.65,31048.42609,39431.58,31155.85895,39568.02,55426.19911,55426.19911
21/01/2024,32831.46977,41696.05,32977.40649,41881.39,32677.87165,41500.98,32740.35184,41580.33,11730.16301,11730.16301
20/01/2024,32802.32022,41659.03,32970.45374,41872.56,32642.69062,41456.3,32831.4619,41696.04,15923.99493,15923.99493
19/01/2024,32541.28137,41327.51,33225.80756,42196.86,31716.472,40280,32802.32022,41659.03,48342.74559,48342.74559
18/01/2024,33681.89327,42776.09,33803.082,42930,32034.01467,40683.28,32541.2735,41327.5,43907.51641,43907.51641
17/01/2024,33966.81396,43137.94,34014.1052,43198,33228.82331,42200.69,33681.90114,42776.1,33266.21388,33266.21388
16/01/2024,33473.24014,42511.1,34313.32507,43578.01,33110.17,42050,33966.82183,43137.95,45045.74589,45045.74589
15/01/2024,32860.05239,41732.35,34173.49858,43400.43,32848.79257,41718.05,33473.24014,42511.1,40269.89303,40269.89303
14/01/2024,33738.50733,42847.99,33920.4046,43079,32850.328,41720,32860.05239,41732.35,28228.40894,28228.40894
13/01/2024,33687.12948,42782.74,34060.5618,43257,33414.20089,42436.12,33738.50733,42847.99,36118.47464,36118.47464
12/01/2024,36487.45458,46339.16,36626.32832,46515.53,32677.1,41500,33687.1216,42782.73,86327.93707,86327.93707
11/01/2024,36735.3596,46654,38558.56855,48969.48,35910.21164,45606.06,36487.45458,46339.16,87470.3296,87470.3296
10/01/2024,36307.014,46110,37555.77528,47695.93,34882.10346,44300.36,36735.35173,46653.99,89911.41203,89911.41203
09/01/2024,36969.2489,46951.04,37773.1528,47972,35235.10276,44748.67,36307.014,46110,69927.66617,69927.66617
08/01/2024,34589.70247,43929.01,37203.85473,47248.99,33995.995,43175,36969.2489,46951.04,72814.57589,72814.57589
07/01/2024,34620.65517,43968.32,35024.01657,44480.59,34308.66367,43572.09,34589.71035,43929.02,23023.8508,23023.8508
06/01/2024,34759.86749,44145.12,34814.43431,44214.42,34170.83717,43397.05,34620.65517,43968.32,17835.06144,17835.06144
05/01/2024,34764.57614,44151.1,34927.064,44357.46,33425.13,42450,34759.85961,44145.11,48075.25327,48075.25327
04/01/2024,33736.3341,42845.23,35220.07129,44729.58,33554.0825,42613.77,34764.57614,44151.1,48038.06334,48038.06334
03/01/2024,35391.19693,44946.91,35826.7,45500,32086.55,40750,33736.3341,42845.23,81194.55173,81194.55173
02/01/2024,34786.97767,44179.55,36125.62066,45879.63,34762.40292,44148.34,35391.19693,44946.91,65146.40661,65146.40661
01/01/2024,33294.09089,42283.58,34790.56034,44184.1,33213.1383,42180.77,34786.97767,44179.55,27174.29903,27174.29903
31/12/2023,33181.26435,42140.29,33778.6726,42899,33043.90242,41965.84,33294.09089,42283.58,23585.91603,23585.91603
30/12/2023,33123.50856,42066.94,33552.94077,42612.32,32693.08422,41520.3,33181.25647,42140.28,22906.57818,22906.57818
29/12/2023,33514.70462,42563.76,33945.6014,43111,32519.62,41300,33123.51643,42066.95,42597.18912,42597.18912
28/12/2023,34195.88436,43428.86,34478.33262,43787.57,33261.18545,42241.79,33514.70462,42563.76,35150.52485,35150.52485
27/12/2023,33471.53148,42508.93,34391.2698,43677,33148.50851,42098.69,34195.87649,43428.85,36191.21136,36191.21136
26/12/2023,34311.83689,43576.12,34324.87623,43592.68,32785.44624,41637.6,33471.53148,42508.93,41010.04282,41010.04282
25/12/2023,33851.5071,42991.5,34489.94677,43802.32,33638.06658,42720.43,34311.84476,43576.13,27021.23992,27021.23992
24/12/2023,34411.07291,43702.15,34603.0804,43946,33464.5,42500,33851.5071,42991.5,25144.33496,25144.33496
23/12/2023,34621.2221,43969.04,34636.68663,43988.68,34087.41214,43291.1,34411.08078,43702.16,16557.1293,16557.1293
22/12/2023,34536.77345,43861.79,34959.18992,44398.26,34183.034,43412.54,34621.2221,43969.04,32783.19638,32783.19638
21/12/2023,34384.90761,43668.92,34836.42639,44242.35,34083.96333,43286.72,34536.78132,43861.8,34624.29384,34624.29384
20/12/2023,33288.11453,42275.99,34868.4342,44283,33233.0044,42206,34384.91548,43668.93,48710.2947,48710.2947
19/12/2023,33588.75172,42657.8,34249.5378,43497,32922.06014,41811.1,33288.11453,42275.99,40927.86444,40927.86444
18/12/2023,32578.39154,41374.64,33667.49959,42757.81,31923.50308,40542.93,33588.75172,42657.8,46734.0925,46734.0925
17/12/2023,33289.71295,42278.02,33404.71272,42424.07,32481.8248,41252,32578.39941,41374.65,27722.11452,27722.11452
16/12/2023,33023.78435,41940.29,33641.21618,42724.43,32759.777,41605,33289.72082,42278.03,24118.85747,24118.85747
15/12/2023,33875.72752,43022.26,33921.82979,43080.81,32807.8084,41666,33023.79222,41940.3,33421.7932,33421.7932
14/12/2023,33755.07422,42869.03,34188.908,43420,32598.36,41400,33875.72752,43022.26,42047.05709,42047.05709
13/12/2023,32671.10001,41492.38,34232.37248,43475.2,31933.007,40555,33755.07422,42869.03,45865.99773,45865.99773
12/12/2023,32482.93503,41253.41,33152.78409,42104.12,32031.432,40680,32671.10789,41492.39,42722.69773,42722.69773
11/12/2023,34479.8523,43789.5,34491.6633,43804.5,31670.8028,40222,32482.92716,41253.4,76663.89804,76663.89804
10/12/2023,34420.08077,43713.59,34684.1826,44049,34301.5062,43563,34479.86017,43789.51,18956.61758,18956.61758
09/12/2023,34780.2454,44171,34927.50495,44358.02,34318.44317,43584.51,34420.08864,43713.6,24925.97008,24925.97008
08/12/2023,34073.27831,43273.15,35196.78,44700,33922.05814,43081.1,34780.23753,44170.99,42900.37556,42900.37556
07/12/2023,34458.74211,43762.69,34682.86764,44047.33,33717.33414,42821.1,34073.27044,43273.14,47103.26845,47103.26845
06/12/2023,34703.72587,44073.82,34879.62315,44297.21,34122.19947,43335.28,34458.74211,43762.69,51431.10492,51431.10492
05/12/2023,33063.79214,41991.1,35029.8512,44488,32609.3836,41414,34703.33217,44073.32,67490.74644,67490.74644
04/12/2023,31474.15752,39972.26,33401.508,42420,31474.15752,39972.26,33063.79214,41991.1,79272.33059,79272.33059
03/12/2023,31063.20559,39450.35,31692.85,40250,30925.02476,39274.86,31474.15752,39972.26,26710.65335,26710.65335
02/12/2023,30458.60837,38682.51,31273.27604,39717.14,30426.40371,38641.61,31063.20559,39450.35,26696.92161,26696.92161
01/12/2023,29703.85398,37723.97,30707.8126,38999,29618.72816,37615.86,30458.61625,38682.52,43415.66324,43415.66324
30/11/2023,29806.75141,37854.65,30036.04229,38145.85,29527.5,37500,29703.8461,37723.96,24740.29147,24740.29147
29/11/2023,29778.58611,37818.88,30275.53,38450,29582.618,37570,29806.74354,37854.64,32994.19107,32994.19107
28/11/2023,29324.90198,37242.7,30218.0498,38377,29030.18603,36868.41,29778.57824,37818.87,37544.46667,37544.46667
27/11/2023,29486.09851,37447.42,29582.0117,37569.23,28903.0918,36707,29324.90198,37242.7,30001.07376,30001.07376
26/11/2023,29748.49956,37780.67,29775.23966,37814.63,29251.91,37150,29486.10638,37447.43,21264.53723,21264.53723
25/11/2023,29695.66502,37713.57,29833.0112,37888,29599.23214,37591.1,29748.49956,37780.67,11396.14464,11396.14464
24/11/2023,29365.5082,37294.27,30247.1836,38414,29331.83897,37251.51,29695.66502,37713.57,44680.80646,44680.80646
23/11/2023,29455.33479,37408.35,29648.31866,37653.44,29031.438,36870,29365.51607,37294.28,23827.92882,23827.92882
22/11/2023,28142.97521,35741.65,29811.83014,37861.1,28056.64467,35632.01,29455.32692,37408.34,45051.30697,45051.30697
21/11/2023,29487.17725,37448.79,29645.16906,37649.44,28137.739,35735,28142.97521,35741.65,47646.54804,47646.54804
20/11/2023,29417.14589,37359.85,29724.35,37750,28879.4698,36677,29487.16937,37448.78,36022.70291,36022.70291
19/11/2023,28793.72981,36568.11,29527.5,37500,28648.77735,36384.02,29417.15376,37359.86,21246.34648,21246.34648
18/11/2023,28829.79273,36613.91,29012.13883,36845.49,28487.01389,36178.58,28793.72194,36568.1,17102.24186,17102.24186
17/11/2023,28475.14777,36163.51,28976.32,36800,28237.03014,35861.1,28829.80061,36613.92,38283.61112,38283.61112
16/11/2023,29809.54668,37858.2,29865.7198,37929.54,27952.7,35500,28475.14777,36163.51,47490.39566,47490.39566
15/11/2023,27993.01488,35551.2,29905.452,37980,27842.464,35360,29809.54668,37858.2,53569.13385,53569.13385
14/11/2023,28710.91108,36462.93,28932.2256,36744,27401.52,34800,27993.00701,35551.19,45503.68416,45503.68416
13/11/2023,29184.29596,37064.13,29462.92533,37417.99,28608.6042,36333,28710.91108,36462.93,32798.18252,32798.18252
12/11/2023,29236.15413,37129.99,29308.77603,37222.22,28922.06814,36731.1,29184.29596,37064.13,17687.18874,17687.18874
11/11/2023,29371.30346,37301.63,29455.26392,37408.26,28871.54068,36666.93,29236.162,37130,22984.97235,22984.97235
10/11/2023,28898.44614,36701.1,29547.9724,37526,28602.07665,36324.71,29371.30346,37301.63,43414.04898,43414.04898
09/11/2023,28050.90453,35624.72,29899.34178,37972.24,27979.51097,35534.05,28898.43827,36701.09,82537.88885,82537.88885
08/11/2023,27873.27496,35399.13,28429.8644,36106,27637.74,35100,28050.90453,35624.72,33401.34137,33401.34137
07/11/2023,27595.29127,35046.09,28258.2112,35888,27183.45744,34523.06,27873.26709,35399.12,38688.73692,38688.73692
06/11/2023,27568.36219,35011.89,27776.58224,35276.33,27343.17366,34725.9,27595.29127,35046.09,22346.47086,22346.47086
